ANO;MES;DIA;HORA;MINUTO;DESLOCRADIALABS;DESLOCTANGABS;GAP_DAYS
1900;11;14;14;0;-3.67;-1.51;
1900;11;14;15;0;-3.69;-1.51;0.0
